real_human_author,pull_request_id,comments_by_human_maintainers
foxminchan,3105213630,62
bw4sz,3200033873,57
matouskozak,3075857183,51
joshdholtz,3151873955,48
tbennun,3090570894,48
tbennun,3130921190,46
dustin-wojciechowski,3143805151,45
noahsmartin,3234226080,44
krzemienski,3226800461,41
mldangelo,3078444990,39
arthurclares,3195329595,39
bt-justtrack,3231652557,38
jenshnielsen,3148932692,38
aibrahim-oai,3240395646,37
abremard,3247126423,36
ljharb,3196619353,36
simmotech,3262413935,35
nohwnd,3262413935,35
mattwang44,3227274544,35
NewFuture,3230529031,34
abremard,3231788654,34
nikolaydubina,3255802721,34
rads-1996,3104405109,33
igormq,3118419390,33
partymaker-py,3114898378,33
maxdanilov,3189570878,32
peterdeme,3078006902,32
KrzysztofCwalina,3131780712,31
LeoJHarris,3110009700,31
JasonMendoza2008,3151566859,31
vavans,3080015686,31
TomEdwardsEnscape,3144351823,31
ItsVeryWindy,3080019917,30
LiliDeng,3148267777,30
captainsafia,3078439427,30
JoshLove-msft,3138439127,30
BillWagner,3236247779,29
jonathanpeppers,3212810620,29
Youssef1313,3235179464,29
davidfowl,3124026492,29
jakebailey,3221043102,28
soumith,3215730319,28
astafan8,3133771594,28
sempervictus,3118287824,28
darcyclarke,3131824435,28
danroth27,3197023120,28
paulomorgado,3161638137,28
PetSerAl,3098739033,27
LGL-Ben,3074618957,27
xiaoyu-work,3119042017,27
nilo19,3256172444,27
swathipil,3125531606,27
lastmjs,3075563001,27
ludfjig,3077052259,27
PureWeen,3144671213,26
NewFuture,3193524394,26
m-redding,3094980327,26
KrzysztofCwalina,3161305439,26
LANPAST,3225037054,25
jas-kas,3200615668,25
veeam-denis,3120246489,25
Jarred-Sumner,3190159928,25
marrobi,3176132312,25
raineorshine,3186281968,25
rolfbjarne,3075799511,25
lastmjs,3104234803,25
alexwolfmsft,3157537057,25
JoshLove-msft,3210800471,24
acco,3138010469,24
NewFuture,3235347485,24
KrzysztofCwalina,3134438774,24
davidfowl,3104442713,24
benbalter,3074959201,24
tomhrr,3156413252,24
elinor-fung,3169649243,24
lastmjs,3076775534,23
darcyclarke,3137763172,23
live1206,3170054434,23
ackava,3078366765,23
minestarks,3121678248,23
sam-goodwin,3105417177,23
james-gould,3183936442,23
eugeneogongo,3078729881,23
kissge,3138550449,22
mrm9084,3083842574,22
davidfowl,3157539448,22
msyyc,3132622672,22
javiercn,3199867865,22
mattkur,3209908129,22
captainsafia,3179795816,22
ilonatommy,3256664617,22
pepone,3142965328,22
pepone,3117952456,22
mikhailshilkov,3082320330,22
davidfowl,3106934710,22
bcrobo,3185333353,21
MikeAlhayek,3245984112,21
B-Step62,3082820826,21
tomhrr,3156387866,21
ReubenBond,3081109099,21
danroth27,3085403262,21
lanicolas,3084600149,21
kaovilai,3098322647,21
praveenkuttappan,3179467888,21
l0lawrence,3179515957,21
p3palazzo,3074698333,21
danroth27,3122811733,21
Kvadratni,3081110111,21
damian-przygodzki,3197014348,21
vankichi,3067605533,20
kiview,3222841302,20
xiaoyu-work,3135068930,20
aradalvand,3078834752,20
derrickstolee,3082279903,20
Bamich,3151753047,20
PureWeen,3151753047,20
Link-,3228219115,20
apexskier,3074698471,20
skyzh,3042242308,20
bernardnormier,3103424264,20
javiercn,3193295105,19
abremard,3231720206,19
JoshLove-msft,3080751824,19
galyea123,2921044123,19
0Ky,3100043959,19
rolfbjarne,3143833816,19
pepone,3143225191,19
Youssef1313,3093995006,19
vakalapa,3104201606,19
JoshLove-msft,3081186157,19
benwbrum,3264895237,19
afscrome,3267970992,19
tarekgh,3075242171,19
Evangelink,3152485982,19
gramalingam,3230759504,19
longxya,3075041588,19
jonthysell,3155033567,19
xboxones1,3186218830,19
jonthysell,3155033995,19
jairmyree,3119512382,19
jonathanlukas,3259170663,19
nuke-web3,3113159496,18
KrzysztofCwalina,3180642799,18
georgewrmarshall,3203952761,18
jkotas,3081770176,18
JMBeresford,3084876668,18
FokkeZB,3230937121,18
mattchenderson,3141802223,18
marcpopMSFT,3134836043,18
TatianaKapos,3150665460,18
BernieWhite,3212619187,18
nibanks,3097466678,18
nsano-rururu,3183315539,18
T-Gro,3083186670,18
PureWeen,3238046925,18
kkkxxx0310,3074689840,18
waldekmastykarz,3172362186,18
pierrevalade,3150662401,18
matthewige,3168623396,18
Youssef1313,3076083247,17
patmmccann,3122513050,17
To1ne,3076780891,17
KyleK1782,3074693911,17
dylan-smith,3127795243,17
simongdavies,3155815373,17
danegsta,3115762277,17
jsquire,3104375121,17
rootulp,3110867755,17
rsavuliak-macpaw,3114262911,17
george-cz,3084795018,17
simongdavies,3079366285,17
lostintangent,3138295848,17
Ruchha-axi,3276590642,17
saima-s,3115119469,17
DaveSkender,3116197763,17
stephentoub,3095076017,17
javiercn,3082388285,17
eallion,3226175596,17
andrewleech,3124595999,17
jonthysell,3155034843,17
ischmittis,2971334331,17
JoshLove-msft,3130800330,17
llali,3250455355,17
binki,3189651457,16
rmarinho,3143372325,16
PureWeen,3184470273,16
jgur-psyops,3153939777,16
javiercn,3236515423,16
jsavage,3074699489,16
Youssef1313,3127222871,16
Andrei-hub11,3143758141,16
mjames-c,3185875840,16
kunaals,3275080151,16
ilya2184,3114848770,16
six7,3087442273,16
ReneWerner87,3088758509,16
ArcturusZhang,3254714553,16
vipul-21,3200632703,16
davidfowl,3089142164,16
rootulp,3110851997,16
KyleAMathews,3171715437,16
markcowl,3084107311,16
lukhipolito,3143508366,16
hilalbursalii,3230682144,16
mandel-macaque,3148248930,16
rach-id,3191292025,16
mattleibow,3180433493,15
joshfree,3209569709,15
JoshLove-msft,3083837004,15
davidfowl,3157538304,15
jgbradley1,3103634798,15
tannerlinsley,3244460749,15
jonthysell,3155034288,15
CflKnowis,3099658013,15
robbie-portia,3082306112,15
KrzysztofCwalina,3157577978,15
srxmsft,3082070083,15
mosch,3132759286,15
jonathanpeppers,3140784075,15
jonathanpeppers,3236162443,15
drewrelmas,3154729147,15
AbhiPrasad,3163338377,15
mjbvz,3125459043,15
gramalingam,3203097519,15
timraymond,3095028076,15
rolfbjarne,3223056401,15
davidfowl,3226091042,15
aradalvand,3084597647,15
lastmjs,3075035064,15
harupy,3198732250,15
andrewlock,3169102437,15
LSAIKE8760,3164047878,15
mxschmitt,3075994560,15
SvenAelterman,3250440088,15
iancooper,3176217773,14
rootulp,3113193447,14
0xkarmacoma,3138279170,14
