experience,pull_request
Junior,1
Mid,2
Junior,2
Junior,1
Junior,1
Junior,1
Junior,6
Junior,2
Junior,1
Junior,1
Junior,1
Junior,1
Mid,1
Mid,4
Junior,2
Junior,6
Junior,1
Junior,27
Junior,1
Junior,2
Junior,15
Junior,17
Junior,1
Mid,1
Junior,2
Junior,1
Junior,1
Mid,2
Junior,2
Junior,2
Junior,10
Junior,1
Junior,29
Junior,17
Junior,5
Senior,1
Junior,1
Junior,6
Junior,5
Junior,20
Junior,1
Mid,1
Mid,1
Junior,1
Junior,20
Junior,1
Mid,1
Junior,1
Mid,2
Mid,1
Mid,1
Junior,23
Senior,1
Junior,4
Junior,1
Junior,2
Junior,3
Junior,2
Junior,1
Junior,13
Junior,2
Junior,4
Mid,3
Mid,14
Mid,1
Junior,4
Junior,1
Junior,1
Mid,41
Junior,5
Mid,55
Junior,1
Junior,7
Senior,1
Mid,49
Mid,1
Mid,3
Junior,14
Junior,214
Senior,1
Senior,15
Junior,1
Senior,9
Junior,2
Junior,3
Senior,1
Junior,1
Junior,10
Mid,1
Mid,3
Mid,45
Junior,1
Junior,1
Junior,4
Mid,9
Junior,5
Junior,1
Mid,2
Senior,1
Mid,2
Mid,2
Mid,1
Mid,1
Mid,2
Senior,4
Junior,3
Mid,3
Junior,4
Mid,4
Mid,8
Junior,1
Junior,3
Junior,1
Mid,1
Junior,6
Mid,1
Mid,4
Mid,2
Mid,5
Junior,5
Junior,2
Junior,1
Junior,1
Junior,13
Junior,81
Junior,1
Junior,1
Junior,1
Junior,2
Junior,16
Junior,25
Mid,3
Junior,1
Junior,5
Mid,1
Junior,2
Junior,2
Mid,7
Junior,2
Junior,1
Junior,4
Junior,1
Junior,3
Junior,1
Junior,4
Junior,3
Junior,1
Junior,1
Junior,1
Junior,2
Junior,22
Junior,87
Junior,1
Junior,1
Mid,1
Junior,1
Junior,1
Junior,6
Junior,1
Junior,1
Mid,3
Junior,10
Junior,2
Senior,1
Junior,3
Mid,81
Junior,125
Junior,32
Junior,3
Junior,1
Junior,1
Junior,44
Junior,1
Junior,2
Junior,1
Junior,1
Junior,1
Junior,16
Junior,1
Mid,2
Junior,1
Mid,2
Mid,1
Junior,5
Mid,3
Junior,1
Junior,1
Junior,1
Junior,4
Junior,1
Mid,8
Junior,1
Junior,1
Junior,1
Junior,10
Junior,2
Junior,1
Junior,9
Junior,1
Junior,1
Junior,7
Junior,1
Junior,3
Junior,1
Junior,1
Junior,1
Junior,14
Junior,1
Junior,19
Junior,2
Junior,1
Mid,20
Junior,2
Junior,1
Senior,3
Junior,2
Junior,1
Junior,12
Junior,1
Junior,8
Junior,1
Mid,1
Senior,2
Junior,1
Junior,22
Mid,1
Junior,16
Junior,21
Mid,1
Junior,1
Junior,5
Junior,6
Junior,1
Junior,4
Junior,19
Junior,1
Junior,1
Junior,3
Junior,1
Junior,1
Junior,2
Junior,7
Junior,1
Junior,1
Junior,26
Mid,75
Junior,1
Mid,1
Mid,35
Junior,1
Mid,4
Junior,1
Junior,1
Junior,1
Junior,17
Junior,2
Junior,1
Junior,23
Junior,1
Junior,3
Junior,2
Mid,14
Junior,1
Junior,2
Junior,25
Junior,2
Junior,2
Junior,32
Junior,1
Junior,3
Junior,1
Junior,2
Junior,1
Junior,2
Junior,1
Junior,7
Junior,2
Junior,1
Junior,2
Junior,2
Mid,6
Junior,10
Senior,1
Junior,1
Mid,1
Junior,69
Junior,2
Junior,1
Junior,1
Junior,20
Junior,1
Junior,3
Junior,20
Junior,23
Junior,1
Mid,4
Junior,1
Junior,3
Junior,13
Junior,2
Junior,2
Junior,13
Mid,1
Junior,1
Junior,22
Junior,2
Junior,1
Junior,1
Junior,2
Junior,33
Mid,4
Senior,2
Mid,2
Mid,1
Junior,27
Junior,1
Junior,8
Junior,5
Mid,26
Junior,4
Junior,6
Junior,19
Junior,1
Mid,2
Junior,1
Junior,3
Mid,1
Junior,1
Junior,2
Junior,1
Junior,2
Junior,1
Mid,1
Junior,1
Junior,2
Junior,1
Junior,2
Junior,44
Junior,3
Junior,1
Mid,1
Junior,26
Junior,1
Junior,3
Junior,9
Junior,8
Mid,1
Junior,2
Junior,1
Junior,2
Junior,1
Junior,1
Mid,1
Junior,1
Junior,1
Junior,108
Junior,2
Junior,23
Junior,5
Junior,2
Junior,4
Junior,3
Junior,1
Mid,2
Mid,3
Junior,1
Junior,5
Junior,1
Junior,1
Junior,1
Junior,1
Junior,2
Junior,2
Senior,1
Junior,1
Mid,489
Junior,23
Mid,4
Junior,16
Junior,1
Junior,1
Senior,3
Junior,1
Mid,1
Junior,1
Junior,4
Junior,7
Junior,3
Junior,3
Junior,3
Junior,1
Junior,1
Junior,6
Junior,62
Junior,1
Junior,2
Senior,21
Mid,8
Junior,1
Junior,2
Junior,2
Junior,7
Junior,2
Mid,172
Junior,1
Junior,1
Junior,3
Junior,1
Junior,3
Junior,37
Junior,18
Mid,13
Mid,4
Junior,1
Junior,1
Junior,3
Junior,2
Junior,12
Junior,8
Junior,3
Junior,1
Mid,4
Junior,1
Mid,3
Junior,2
Junior,2
Junior,2
Junior,21
Junior,3
Junior,11
Mid,5
Junior,1
Junior,4
Junior,1
Senior,29
Junior,1
Junior,1
Junior,1
Junior,131
Junior,15
Mid,1
Junior,1
Junior,1
Mid,3
Junior,38
Junior,20
Junior,1
Junior,5
Junior,1
Junior,15
Junior,7
Junior,1
Junior,1
Junior,1
Junior,1
Junior,2
Junior,1
Junior,1
Junior,6
Junior,3
Junior,1
Mid,4
Junior,5
Mid,2
Junior,3
Junior,1
Mid,55
Junior,1
Junior,21
Junior,1
Junior,7
Mid,4
Junior,1
Mid,3
Mid,5
Junior,1
Junior,1
Junior,5
Junior,1
Junior,2
Junior,2
Junior,1
Mid,4
Mid,13
Senior,4
Junior,4
Junior,1
Junior,38
Junior,1
Junior,2
Junior,3
Junior,1
Junior,1
Junior,2
Junior,30
Junior,4
Junior,151
Junior,8
Junior,1
Junior,1
Junior,2
Junior,1
Junior,1
Junior,3
Mid,3
Junior,1
Junior,226
Junior,11
Junior,1
Junior,8
Junior,1
Junior,2
Junior,1
Junior,6
Junior,5
Junior,2
Junior,1
Junior,1
Mid,1
Junior,6
Junior,8
Junior,1
Mid,3
Junior,4
Mid,7
Junior,2
Junior,6
Junior,7
Junior,3
Junior,1
Junior,4
Junior,1
Junior,1
Junior,48
Junior,6
Junior,2
Mid,12
Mid,4
Junior,1
Senior,5
Junior,3
Junior,1
Junior,1
Junior,39
Junior,12
Mid,3
Junior,1
Junior,2
Junior,9
Junior,1
Junior,1
Junior,4
Junior,5
Junior,1
Junior,1
Junior,1
Junior,2
Mid,1
Junior,6
Mid,4
Junior,2
Junior,2
Junior,1
Junior,1
Junior,19
Junior,7
Junior,1
Junior,1
Junior,1
Junior,1
Junior,1
Junior,1
Junior,17
Junior,14
Junior,3
Junior,4
Junior,1
Junior,3
Junior,1
Junior,2
Junior,1
Junior,4
Junior,4
Junior,2
Junior,1
Junior,24
Junior,1
Junior,1
Junior,1
Junior,1
Junior,3
Junior,2
Junior,1
Junior,2
Junior,1
Junior,7
Junior,3
Junior,1
Junior,1
Junior,1
Junior,3
Junior,1
Junior,2
Junior,8
Junior,1
Junior,1
Junior,1
Mid,8
Junior,22
Junior,4
Junior,3
Mid,26
Junior,2
Junior,1
Junior,30
Junior,2
Junior,2
Junior,8
Junior,29
Junior,1
Junior,1
Junior,10
Mid,1
Junior,1
Junior,1
Junior,3
Junior,2
Mid,63
Junior,8
Junior,1
Junior,1
Junior,4
Junior,2
Junior,1
Junior,2
Junior,1
Mid,1
Junior,2
Junior,1
Junior,2
Junior,1
Junior,6
Junior,1
