krrishdholakia,4,4.0,0.0,100.0
nektro,15,11.0,4.0,73.33
Jarred-Sumner,16,14.0,2.0,87.5
pfgithub,8,6.0,2.0,75.0
probably-neb,1,1.0,0.0,100.0
190n,9,9.0,0.0,100.0
alii,2,2.0,0.0,100.0
RiskyMH,4,3.0,1.0,75.0
VladimirFilonov,2,2.0,0.0,100.0
alissonfpmorais,1,1.0,0.0,100.0
antonpirker,1,1.0,0.0,100.0
lalalune,1,1.0,0.0,100.0
TecSong,1,0.0,1.0,0.0
ai16z-demirix,1,0.0,1.0,0.0
dxsullivan,1,0.0,1.0,0.0
sekmet,1,0.0,1.0,0.0
bitsandfoxes,1,1.0,0.0,100.0
shockno1,1,1.0,0.0,100.0
juliusmarminge,1,1.0,0.0,100.0
steveruizok,1,1.0,0.0,100.0
NoritakaIkeda,6,4.0,2.0,66.67
ya2s,1,1.0,0.0,100.0
liam-changeset-ci-trigger[bot],7,7.0,0.0,100.0
dgrothaus-sw,1,1.0,0.0,100.0
JoshuaC215,1,1.0,0.0,100.0
Saqoosha,1,1.0,0.0,100.0
catherinewu,1,1.0,0.0,100.0
JulesBelveze,1,1.0,0.0,100.0
zuiyue-com,1,0.0,1.0,0.0
mwilsonmagnite,1,1.0,0.0,100.0
boris-polyakov-dv,1,1.0,0.0,100.0
pm-asit-sahoo,1,1.0,0.0,100.0
Jacobkmiller,1,1.0,0.0,100.0
GeneGenie,1,1.0,0.0,100.0
onyedikachi-david,2,1.0,1.0,50.0
whoislewys,1,1.0,0.0,100.0
typpo,14,14.0,0.0,100.0
dsappet,1,1.0,0.0,100.0
jLopezbarb,1,1.0,0.0,100.0
Torantulino,1,0.0,1.0,0.0
pavpanchekha,15,11.0,4.0,73.33
ahmetskilinc,1,1.0,0.0,100.0
abelriboulot,1,0.0,1.0,0.0
the-praxs,4,2.0,2.0,50.0
rhys-041,1,1.0,0.0,100.0
epps,4,3.0,1.0,75.0
greatgitsby,1,0.0,1.0,0.0
Gusarich,1,1.0,0.0,100.0
stossy11,1,0.0,1.0,0.0
chitalian,1,1.0,0.0,100.0
ueshita,2,2.0,0.0,100.0
Logiase,1,0.0,1.0,0.0
OwLu0905,1,1.0,0.0,100.0
DefV,1,1.0,0.0,100.0
MananTank,6,6.0,0.0,100.0
joamag,3,2.0,1.0,66.67
BenjaminBrienen,1,0.0,1.0,0.0
ocavue,3,3.0,0.0,100.0
MaximSmolskiy,1,1.0,0.0,100.0
AmanRidesIQ,1,0.0,1.0,0.0
davegaeddert,3,3.0,0.0,100.0
carlydf,1,1.0,0.0,100.0
mpociot,1,1.0,0.0,100.0
georgesittas,1,1.0,0.0,100.0
playwrightmachine,1,1.0,0.0,100.0
Weves,3,3.0,0.0,100.0
ianchi,1,1.0,0.0,100.0
dan-rukas,1,0.0,1.0,0.0
bcmmbaga,1,1.0,0.0,100.0
schilchSICKAG,1,1.0,0.0,100.0
joacoc2020,1,1.0,0.0,100.0
zzstoatzz,1,1.0,0.0,100.0
kirederik,1,1.0,0.0,100.0
jessfraz,1,1.0,0.0,100.0
FakeMichau,2,2.0,0.0,100.0
nicolasbraun,1,1.0,0.0,100.0
jacquesikot,4,3.0,1.0,75.0
dvj1988,1,1.0,0.0,100.0
dev-aipolabs,2,2.0,0.0,100.0
VisargD,1,1.0,0.0,100.0
bashtage,1,1.0,0.0,100.0
maxbischoff,1,1.0,0.0,100.0
cypherpepe,2,2.0,0.0,100.0
nekohy,1,1.0,0.0,100.0
GSadee,1,1.0,0.0,100.0
levigross,3,1.0,2.0,33.33
abi,1,0.0,1.0,0.0
logancyang,1,1.0,0.0,100.0
LeoGrin,1,1.0,0.0,100.0
PTNobel,1,1.0,0.0,100.0
rahuja23,1,1.0,0.0,100.0
kundadebdatta,1,1.0,0.0,100.0
lzchen,1,1.0,0.0,100.0
M-Hietala,1,1.0,0.0,100.0
fishcharlie,1,1.0,0.0,100.0
vaind,1,1.0,0.0,100.0
gnedanur,1,0.0,1.0,0.0
andrewbranch,2,2.0,0.0,100.0
DanielRosenwasser,1,1.0,0.0,100.0
rbuckton,1,1.0,0.0,100.0
JanKrivanek,1,0.0,1.0,0.0
Jayakumar2812,1,1.0,0.0,100.0
martincostello,1,0.0,1.0,0.0
ellahathaway,1,1.0,0.0,100.0
vcsjones,1,1.0,0.0,100.0
huoyaoyuan,1,1.0,0.0,100.0
janvorli,1,1.0,0.0,100.0
rokonec,1,1.0,0.0,100.0
ashruti-msft,2,2.0,0.0,100.0
dassayantan24,2,2.0,0.0,100.0
topshot99,1,1.0,0.0,100.0
minhanh-phan,2,2.0,0.0,100.0
ozaktash,1,1.0,0.0,100.0
carsonRadtke,1,1.0,0.0,100.0
simonrozsival,1,1.0,0.0,100.0
parker-research,3,2.0,1.0,66.67
abonie,1,1.0,0.0,100.0
innimnuaai,1,0.0,1.0,0.0
wonwuakpa-msft,1,1.0,0.0,100.0
sinedied,1,1.0,0.0,100.0
Thoughtscript,1,1.0,0.0,100.0
chris-oo,1,1.0,0.0,100.0
zhou9584,1,1.0,0.0,100.0
juliaroldi,1,1.0,0.0,100.0
GrabYourPitchforks,1,1.0,0.0,100.0
rubo,1,1.0,0.0,100.0
cardinal-stack,1,0.0,1.0,0.0
peterableda,1,0.0,1.0,0.0
AhmedGMurtaza,1,0.0,1.0,0.0
mplachta,4,3.0,1.0,75.0
Rebecca-Qian,1,0.0,1.0,0.0
exiao,1,1.0,0.0,100.0
oxy-rostyslav,1,1.0,0.0,100.0
RajdeepDs,1,0.0,1.0,0.0
sean-brydon,8,8.0,0.0,100.0
CarinaWolli,4,4.0,0.0,100.0
retrogtx,5,5.0,0.0,100.0
Amit91848,1,0.0,1.0,0.0
supalarry,1,1.0,0.0,100.0
tomiir,13,10.0,3.0,76.92
enesozturk,6,6.0,0.0,100.0
vercel-release-bot,3,1.0,2.0,33.33
ershad,9,9.0,0.0,100.0
raphaelcosta,2,2.0,0.0,100.0
jc26,18,16.0,2.0,88.89
somyanath,4,0.0,4.0,0.0
akash3444,2,0.0,2.0,0.0
yoshi-taka,1,1.0,0.0,100.0
XxAlonexX,1,0.0,1.0,0.0
Arshroop-Saini,1,1.0,0.0,100.0
simbadMarino,1,0.0,1.0,0.0
ltyu,1,0.0,1.0,0.0
tjiang-box,3,3.0,0.0,100.0
