login,followers,max_stars,max_forks,account_age,agent_activity_span_days,agent_diversity,agentic_repo_breadth
weiliu1031,4.0,0.0,0.0,4,0,1,1
costajohnt,10.0,0.0,0.0,11,0,1,1
jchenseated,1.0,0.0,0.0,6,0,1,1
Apurva007,2.0,0.0,0.0,12,3,1,2
nazt,158.0,0.0,0.0,17,42,1,2
patrickespake,36.0,1.0,0.0,18,3,1,1
SeanMooney,23.0,0.0,0.0,14,2,1,1
devops-mindhive,0.0,0.0,0.0,6,1,1,1
ippei-shimizu,49.0,0.0,0.0,4,7,1,1
cjlucas,4.0,0.0,0.0,15,0,1,1
paxcalpt,50.0,0.0,0.0,15,0,1,1
yar0316,0.0,0.0,0.0,8,0,1,1
hy20191108,6.0,1.0,0.0,7,31,2,2
ModerRAS,25.0,6.0,2.0,9,0,1,1
sreya,16.0,0.0,0.0,13,0,1,1
PengleiYu,10.0,0.0,0.0,11,0,1,1
pwt-cd,0.0,0.0,0.0,1,0,1,1
zachyzissou,1.0,1.0,0.0,13,43,2,2
korosuke613,68.0,1.0,1.0,10,0,1,1
b-vitamins,1.0,2.0,0.0,3,28,1,15
ravikambaluru,0.0,0.0,0.0,8,0,1,1
1ucian,1.0,0.0,0.0,12,10,1,1
Blutusz,0.0,0.0,0.0,3,6,1,3
neelmajmudar,0.0,1.0,0.0,3,0,1,1
RealTreasury,0.0,1.0,0.0,1,40,1,4
macdu07,1.0,0.0,0.0,6,0,1,1
lucasclx,3.0,0.0,0.0,5,13,1,4
koendebock,2.0,0.0,0.0,8,0,1,1
walletstarter,0.0,0.0,0.0,1,16,1,2
Kgibbs501,0.0,0.0,0.0,3,0,1,1
gh9869827,1.0,1.0,0.0,2,53,1,3
rokon12,621.0,1.0,0.0,16,20,1,3
cedricNA,1.0,0.0,0.0,3,49,1,3
Deharath,1.0,0.0,0.0,9,7,1,1
dave-hillier,36.0,1.0,3.0,14,21,1,3
hekpac,0.0,0.0,0.0,9,3,1,1
gustavotadeu,0.0,0.0,0.0,8,9,1,3
bcolloran,9.0,0.0,0.0,14,26,1,4
nkphys,7.0,0.0,0.0,10,1,1,1
gshiva,1.0,0.0,0.0,14,55,1,3
helloshowup,0.0,1.0,0.0,3,57,1,13
voku,463.0,515.0,88.0,16,57,1,3
neg-serg,28.0,0.0,0.0,13,0,1,1
rwill128,11.0,0.0,0.0,13,26,1,2
Federolla12,0.0,0.0,0.0,3,0,1,1
pushpalroy,269.0,531.0,29.0,10,10,1,2
oscarcarmon47,0.0,0.0,0.0,6,10,1,2
Jagomeiister,2.0,0.0,0.0,7,1,1,1
Brensley,0.0,0.0,0.0,9,7,1,2
TrustlessMike,6.0,0.0,0.0,2,0,1,1
Youdanshow,2.0,1.0,0.0,3,37,1,5
Kmberry1989,0.0,1.0,0.0,1,51,1,13
attgitmain,0.0,1.0,1.0,1,48,1,3
ottojung,0.0,0.0,0.0,3,49,1,1
jbakhos63,0.0,0.0,0.0,1,4,1,1
anupshah2it,2.0,0.0,0.0,15,1,1,2
denyskozak,5.0,0.0,0.0,4,52,1,2
guillermolam,4.0,0.0,0.0,12,21,1,2
MasterOfBinary,13.0,29.0,6.0,14,0,1,1
MeechYourGoals,0.0,1.0,0.0,1,39,1,2
Broadwood11,0.0,0.0,0.0,4,0,1,1
jinggugu1110,0.0,0.0,0.0,2,0,1,1
kopi03,0.0,0.0,0.0,2,10,1,2
skprasadu,109.0,0.0,0.0,14,3,1,3
aidansussillo24,0.0,1.0,0.0,1,28,1,2
dgcastillof,0.0,0.0,0.0,6,26,1,1
rehmanul,0.0,1.0,0.0,3,11,1,3
BankNatchapol,26.0,0.0,0.0,7,3,1,3
dhsig86,1.0,0.0,0.0,3,21,1,4
hyun090305,0.0,0.0,0.0,5,4,1,1
mmcdermott,93.0,33.0,10.0,16,56,1,11
gravuj-miklos-henrich,3.0,0.0,0.0,6,0,1,1
luketou,1.0,0.0,0.0,6,18,1,1
tuaregsand,1.0,3.0,0.0,1,22,1,5
matthesv,0.0,0.0,0.0,8,33,1,2
andretasty,0.0,0.0,0.0,9,3,1,1
Xintong7EDU,0.0,0.0,0.0,1,2,1,2
Bmn599,1.0,0.0,0.0,7,27,1,3
singhtejn,0.0,0.0,0.0,7,13,1,2
myuop2024,0.0,0.0,0.0,2,37,1,2
indifferenteye,0.0,0.0,0.0,1,9,1,1
Jandro-Ponce,12.0,0.0,0.0,7,45,1,1
Kingwilly6942,0.0,0.0,0.0,1,0,1,1
parhamfiroozi,1.0,0.0,0.0,4,54,1,1
ryankmccarty,0.0,0.0,0.0,10,10,1,3
sultaniman,116.0,2.0,0.0,16,3,1,1
Nehemimosqueda520,4.0,0.0,0.0,3,5,1,2
DiogoAzevedo03,0.0,0.0,0.0,4,1,1,1
Pedrobks23,1.0,1.0,0.0,4,34,1,3
AlvaroLS01,0.0,0.0,0.0,3,55,1,7
kpoxo6op,1.0,0.0,0.0,15,40,1,2
mikewong23571,2.0,2.0,1.0,1,15,1,3
MarkoStefanovic,3.0,0.0,0.0,10,0,1,1
Waelr1985,1.0,1.0,0.0,6,42,1,4
MuddySheep,1.0,3.0,0.0,2,3,1,6
hannah-ric,0.0,1.0,0.0,2,25,1,3
leonvanbokhorst,149.0,0.0,0.0,14,5,1,2
techmad220,0.0,0.0,0.0,3,2,1,1
anjumdar7864,4.0,0.0,0.0,8,0,1,1
danielriverah,0.0,0.0,0.0,4,8,1,2
ZerogTony,0.0,0.0,0.0,3,1,1,1
AshB4,3.0,0.0,0.0,4,4,1,1
alexislindsay,0.0,0.0,0.0,8,53,1,2
willyogo,23.0,1.0,0.0,9,65,1,3
arnaudauroux,13.0,0.0,0.0,16,0,1,1
carloscousin,0.0,0.0,0.0,10,0,1,1
tiagossm,0.0,0.0,0.0,1,22,1,2
Wenlin-AI,1.0,0.0,1.0,1,16,1,6
nomenarkt,1.0,0.0,0.0,5,3,1,1
matheusflauzino,50.0,0.0,0.0,15,6,1,2
solomongana,0.0,0.0,0.0,7,0,1,2
ljt019,1.0,17.0,1.0,3,9,2,1
vossccp,0.0,0.0,0.0,12,0,1,1
DetectiveToaster,0.0,0.0,0.0,8,38,1,2
nthomasau,0.0,0.0,0.0,3,0,1,1
Leznerr,0.0,0.0,0.0,3,6,1,3
AlcinoAfonso,0.0,0.0,0.0,1,43,1,4
Razorback2424,0.0,0.0,0.0,9,25,1,3
maksym-arutyunyan,1.0,4.0,1.0,4,12,1,5
CmdWolfTech,0.0,0.0,0.0,1,42,1,1
Dweliw01,0.0,0.0,0.0,4,50,1,2
andygeek,25.0,4.0,0.0,9,12,1,4
itslucasm8,0.0,0.0,0.0,2,1,1,4
pangedza,0.0,0.0,0.0,1,1,1,2
catatsuy,153.0,528.0,312.0,15,8,1,4
arrrtem0607,0.0,0.0,0.0,3,0,1,1
derekbolyard,0.0,0.0,0.0,9,2,1,1
lucasryyy,0.0,0.0,0.0,1,2,1,1
mhodgesatuh,4.0,0.0,0.0,11,16,1,1
fabegalo,19.0,0.0,0.0,7,0,1,1
marvj69,1.0,0.0,0.0,2,4,1,2
fvanevski,0.0,1.0,0.0,5,0,1,1
keboqi,0.0,0.0,1.0,14,5,1,2
siddharthshah87,2.0,1.0,0.0,13,36,1,1
hamawiom2018,1.0,0.0,0.0,8,12,1,1
GlacierEQ,0.0,1.0,1.0,1,28,1,16
Erzadon,0.0,0.0,0.0,10,0,1,1
ComradeGu459,0.0,0.0,0.0,1,0,1,1
ShotaroTsuji,11.0,0.0,0.0,16,1,1,1
tejeshwerk,0.0,0.0,0.0,1,3,1,1
brad1,3.0,0.0,0.0,13,37,1,2
traecneh,0.0,0.0,0.0,14,1,1,2
John-Allard,0.0,0.0,0.0,4,38,1,1
mosal1978,0.0,0.0,0.0,2,56,1,1
venerated,1.0,0.0,0.0,12,0,1,1
DBKamar,4.0,0.0,0.0,3,0,1,1
BigBoost-Dev,0.0,0.0,0.0,1,5,1,1
dredavidOps,1.0,1.0,1.0,5,31,1,2
akashsharma95,29.0,0.0,0.0,14,3,1,1
Berdegeus,9.0,0.0,0.0,7,1,1,1
zeeb0tt,0.0,3.0,0.0,5,1,1,1
glitch-bee,0.0,0.0,0.0,3,44,1,2
HunterPSmith,0.0,0.0,0.0,4,1,1,1
Maxougit,3.0,2.0,8.0,5,31,1,2
CodeBreaker02,16.0,1.0,0.0,6,0,1,1
chapeumister,0.0,0.0,0.0,2,0,1,1
wesged,1.0,0.0,0.0,3,11,1,1
Old2015,0.0,0.0,0.0,1,66,1,4
arwinwijaya,0.0,0.0,0.0,2,8,1,1
VictorAtencio-21,15.0,0.0,0.0,6,18,1,2
noluckmurphy,26.0,0.0,0.0,18,7,1,1
AniolJufe,0.0,0.0,0.0,1,1,1,1
Ellios77,0.0,0.0,0.0,2,31,1,1
JRebertt,17.0,0.0,0.0,6,6,1,1
galenzo17,22.0,0.0,0.0,12,27,1,4
batincode,3.0,0.0,0.0,4,33,1,2
kyarminrox,1.0,0.0,0.0,7,1,1,3
