login,collab_breadth,5yr_public_commits,5yr_private_work,5yr_reviews_given,5yr_prs_opened
000Sean000,0,82,0,0,1
000alen,15,1459,5125,2,83
000qhrey,1,3,0,0,3
125495,0,18,0,0,1
001priyanshi,0,8,0,0,2
001vamp,0,78,0,0,2
007TheSpectre,1,22,834,0,1
00Mars,0,66,0,2,4
00hello,3,1422,125,0,19
00nesval,0,11,0,0,6
00x71,0,0,0,1,3
0118am,0,12,0,0,1
01Niklas,1,33,0,0,7
01chungee10snu,0,195,0,1,35
01rabbit,0,416,261,0,65
01vadim10,0,92,270,30,29
020perry,0,0,120,0,0
030jmk,0,215,78,0,6
03stories,0,6,2703,0,1
04-impiousrust,1,57,0,0,31
4042015,0,1653,0,0,10
0420Max,0,46,0,0,1
04akvs,0,49,0,0,5
0561joni,0,272,0,0,16
06Gagan,0,399,8,0,75
0809wy,0,4,0,0,4
0815pascal,1,61,3022,45,14
0911paul,0,1,0,0,3
09shreyasingh,0,1,0,0,1
0ByteBlitz,0,152,1,0,3
0NATE4,1,147,1244,7,2
0REDGAR0,0,33,0,0,8
0RYM0S,3,59,0,0,16
0Richard,0,3,0,0,1
0ariell,0,146,0,0,1
0b5013732,0,104,0,0,59
0cl0ck,0,549,0,0,27
0ex-d,0,0,0,0,0
0fatihyildiz,1,851,4073,11,48
0haris0,1,83,263,0,14
0mahdi0,0,29,0,0,6
0marKH,0,46,61,0,9
0mavos0,0,58,0,1,24
0megas000,0,5,0,0,4
0neye,1,298,97,10,60
0ni-x4,13,73,1185,1,7
0noel0,0,8,0,0,1
0nu-e0,0,180,883,0,22
0r17,1,43,0,0,1
0rd1nary13,3,223,0,9,25
0senno,0,72,0,0,1
0suu,5,132,3682,0,42
0ta-mjn,1,403,9512,0,45
0ung,0,479,616,14,169
0wen26,0,178,0,0,27
0x-j,15,692,1092,341,291
0x01001011,0,0,0,0,0
0x0BSoD,0,140,0,0,9
0x11Studio,0,0,0,0,2
0x11Xera,2,38,0,0,21
0x1337Ahmed,0,0,182,0,0
0x1337F00D,2,0,0,0,6
0x1NotMe,10,1381,9466,103,344
0x2137,0,14,0,0,1
0x23null,0,101,0,0,22
0x3Matt,0,62,1452,0,2
0x4133,0,286,0,0,8
0x41gawor,0,2033,0,4,119
0x4D31,2,320,0,0,55
0x4D44,1,715,1897,0,41
0x5459,8,1240,1492,238,494
0x5YF3R,0,0,1,0,0
0x64RT,1,23,0,0,2
0x6N,1,16,0,0,1
0x80,4,1138,6334,37,125
0x92,0,293,0,0,182
0xA9UA,0,29,0,0,11
0xARCOS,2,544,0,0,74
0xAm1r,0,13,0,0,1
0xAnarz,0,8,662,0,11
0xBingo,3,326,0,0,109
0xBoxer,2,144,0,93,110
0xCD4,1,233,0,0,2
0xCarti,0,1724,0,0,817
0xD4rky,5,803,8,2,21
0xDosa,2,843,4354,88,136
0xdryleaf,0,27,0,0,2
0xEodum,0,106,29,0,9
0xFirekeeper,0,0,0,0,0
0xFuckTheFeds,1,434,0,0,306
0xGuigui,4,582,1256,0,4
0xJem,36,8694,3648,195,952
0xJhinkz,5,196,0,0,33
0xLLM73,0,0,55,0,0
0xLeif,66,2279,3252,119,610
0xMatthieu,0,406,148,0,7
0xMorpheusZAR,1,37,0,0,11
0xNoSystem,1,504,0,0,3
0xP1ckl3d,1,143,0,0,1
0xQuan93,2,96,51,0,15
0xRaduan,27,182,10295,9,68
0xRichardH,16,1828,8437,9,234
0xRobin,8,511,1440,403,412
0xSMW,6,594,17500,1,69
0xSwego,3,38,1657,6,15
0xThiagoAmaral,0,48,17,0,6
0xTrxz,12,121,331,0,0
0xTym,0,5,0,0,9
0xV4L3NT1N3,2,102,3493,0,14
0xYaPo,1,86,0,1,11
0xZKsnarker,1,48,0,0,10
0xadityaa,0,435,426,0,14
0xakshay,1,35,0,0,4
0xantman,8,2221,4782,28,236
0xbenc,6,1712,2628,0,499
0xc3u,0,342,5126,7,14
0xdevalias,33,1313,1150,387,202
0xdevrel,3,194,492,2,9
0xeb,32,3952,156,1,187
0xferit,12,2804,0,181,538
0xfffffffa,2,107,1923,1,75
0xfurai,4,486,2660,17,75
0xjcf,1,708,239,5,28
0xjgv,5,421,2671,10,41
0xmachos,4,694,60,0,15
0xmdh,0,92,179,0,7
0xmichalis,21,2011,6712,126,279
0xmts,7,15,869,6,28
0xnuminous,1,15,442,0,5
0xp3p3x0,0,6,447,0,11
0xpantera,23,1028,448,4,79
0xpsi,0,9,0,0,2
0xrinegade,0,0,0,0,0
0xshugo,5,21,0,0,9
0xsiddharthks,8,37,3699,9,13
0xsim0,0,0,0,0,0
0xtechnoir,0,507,503,0,45
0xthrpw,33,1044,3196,18,246
0xtnpxsgt,0,717,0,0,7
0xtuytuy,2,268,2077,68,56
0xzhouchenyu,1,3,365,0,0
0zymandias11,0,83,0,0,2
0zzl3rzz,0,2,0,0,1
0zzy-0sbourne,0,10,0,0,1
0zzyy,0,76,0,0,15
1000grams,0,0,0,0,0
1000lux,0,1,0,0,1
1000ship,0,446,10105,2,5
10081962,0,4,0,0,1
100hpfvr,0,57,38,0,2
1012327963,1,0,0,0,12
1030,2,61,0,0,20
1047lakewood,3,49,0,0,31
106-,4,431,1303,3,80
109naoki,0,19,0,0,4
10Abdullatif35,1,56,0,0,5
10GeekJames,0,226,2636,0,4
10John01,11,159,121,0,3
10Oskar,0,7,0,0,3
10kpw,1,317,1423,0,538
10xD226,0,32,0,0,2
111ballu111,0,0,0,0,1
1132jjw,0,339,0,0,63
113974-Olivera-Gustavo,0,66,0,0,11
1150acres,0,6,0,0,3
11612x,0,4,0,0,0
11B25y,0,0,0,0,0
11MFDOOM11,0,11,0,0,3
11Sahar11,0,24,0,0,1
11X0r,2,11,92,0,2
11w5,1,103,45,1,45
121click,0,81,0,0,1
12345OUMAR,0,2,0,0,2
1236Menchi,0,48,0,0,24
123actionbarcelona,0,1,0,0,0
123deoliveira5,0,0,0,0,1
123hpcomsetup-j,0,41,0,0,2
123jimin,22,1466,3259,3,32
123panagiotis456,0,21,0,0,2
123thomas123yan123,0,11,0,0,1
1240537-brunorodrigues,0,50,592,0,9
128Adrian,0,1,0,0,2
12Brk12,0,34,0,0,1
12Matt3r,7,115,0,12,48
12cymatics,0,0,0,0,0
12kril21,0,11,0,0,3
131,3,1410,0,9,21
13567,0,22,0,0,9
13alvone,0,1222,723,0,464
13kailouis,0,281,440,0,183
13nosui,0,0,0,0,0
14-TR,2,13,918,0,2
AlfG71,0,340,0,9,86
AlfGoto,16,925,2026,4,35
Alfahan,1,323,2468,0,2
Alfaqeehalandalosi,0,17,0,0,8
Alfawyse,0,94,0,0,23
Alfaxad,7,454,962,0,26
Alfezkhan61,0,69,0,0,2
Alfffnnnnm,0,8,0,0,1
AlfieRodriguez,0,1,0,0,1
AlfonsoContreras05,0,399,16,1,4
Alfonsov19,0,65,0,0,2
Alfonsxh,14,212,219,0,13
Alfoor,0,32,0,0,3
Alfred7111,0,1,0,0,1
AlfredBr,1,659,0,0,9
AlfredEngstrand0401,0,17,0,0,1
Alfredo-Sandoval,1,40,4878,0,1
AlghamdiMuath,0,157,35,0,2
Algo001,0,37,10,0,1
AlgoArtee,0,263,0,0,3
Alhambren,0,2,0,0,0
Alhwyn,4,424,1204,2,70
Ali-Alghaithi,0,48,8,0,1
Ali-Chaghou,0,109,0,0,1
Ali-Maq,3,222,0,0,23
Ali-Parsaee,0,210,347,0,1
Ali6x1000,2,108,206,0,3
AliAmjid,3,136,31,0,20
AliAouam,0,1,0,0,24
AliAsadi,0,1021,8735,1,8
AliAzimiD,0,245,0,0,58
AliBadawy,0,0,272,0,1
AliBenrami,11,288,91,1,45
AliDevel,2,226,0,0,6
AliDousa,0,0,0,0,0
AliElba,0,5,0,0,1
AliGadraoui,0,68,0,0,1
AliHamz10,4,213,235,0,14
AliJafarii,0,15,0,0,1
AliJavadi1997,0,131,0,0,1
AliKhajegiliM,2,185,0,0,9
AliMahdianGIS,0,14,0,0,1
AliRadman06,0,55,0,0,1
AliRizaAynaci,0,897,0,0,14
AliSafi-GD,0,108,0,0,1
AliSakr20081972,0,23,0,0,11
AliaksandrNazaruk,13,0,0,0,0
Alialmandoz,0,130,0,0,2
AliasUruz,0,15,0,1,907
Alibek0301,0,125,0,0,69
Alice-2004,0,40,0,0,1
Alice1313z,0,2,0,0,1
AliceInWonderland100,0,3,0,0,1
AlicornIndustries,0,73,0,0,2
AlidesChimin,0,101,0,2,6
AlieN-Lekker,1,40,0,0,17
Alien-AV,1,376,296,0,90
AlienScribe,0,87,0,0,31
AlighieriDxGG,0,0,0,0,0
Aliilla,0,15,0,0,1
Alikarakalla,1,22,0,0,10
Alily223,0,335,1,0,26
Alims-Repo,0,588,1573,4,15
AlinaKurjan,0,31,83,1,8
AlinariC,0,702,18,0,177
Alirahimi4321,0,3,0,0,1
Alireza1379-AI,1,78,0,0,4
Alireza78na,4,127,0,0,59
AlirezaAlibolandi,0,59,1233,0,2
AlirezaMorsali,2,435,1045,32,70
Alisa-Novik,0,401,0,0,51
Alisafoxy,0,21,0,0,1
Alishahed,2,111,55,0,4
Alisher-Bulatov,0,83,0,0,3
Alison-Tseng,0,6,0,0,3
AlisonLuan,3,117,0,0,24
AlisonSarto,0,377,574,1,12
AlizadeM,0,92,1534,0,12
Alkass,2,225,167,0,163
Alkherej-Karam,1,14,0,0,1
Alkimik9000,0,269,0,0,27
All8yMySelf,3,625,0,0,306
AllCott25,0,0,0,0,0
AllEnough,1,214,0,0,2
AllPro123,0,1,0,0,2
AllTerrainDeveloper,2,191,2661,161,220
AllanAviana,0,170,0,0,1
AllanDoval1,0,3,0,0,1
AllanF01,0,39,0,0,1
AllanGabay,1,0,0,0,0
AllanMedeiros,0,11,0,0,1
AllanSchergerGitHub,0,31,633,0,33
AllanYiin,0,1752,0,0,332
AllanceBoom,0,5,0,0,1
Allen-077,0,3,0,0,1
Allen-Rogers,0,1,0,0,2
AllenGSimpson,1,207,480,0,66
AllenLVieira,0,487,76,0,53
AllenMcAfee,1,28,23,0,16
Allenwang214,0,1,0,0,1
AllexxT,0,16,0,0,3
Alleyfoo,0,281,753,5,19
Allgamepicks,0,25,0,3,10
AllgoZ,0,67,0,0,17
Alli1223,0,181,0,0,114
AlliceRoyale,0,19,0,0,13
AllieBaig,0,3266,0,0,79
allierays,9,1407,1431,0,167
Allo11727,0,135,0,0,18
Alloysj,2,225,297,0,26
Allrounder687,1,112,0,0,8
AllyMurray,0,677,993,0,111
AllyssaLyddell,0,0,0,0,0
Almag3000,0,121,0,0,45
Almaz-KG,13,1010,2323,1,76
Almehedi06,2,216,0,1,6
Almeidajf37,0,0,0,0,0
Almichot-1,0,126,0,0,1
AlmightyTopher,0,594,0,0,24
Alna7as,0,90,0,0,2
Alnuyt,0,203,0,0,1
Alody,0,86,132,0,1
Alojamientos-Morona,1,130,0,0,46
AlokAtGit-dev,0,35,0,0,3
AlokMishrra,0,33,0,0,2
AlomaryAli,2,108,0,0,2
Alon-Abekasis,0,4,0,0,2
AlonsoFuentesGTZ,1,53,0,0,16
Alonsoich,0,11,0,0,1
Aloush7717,0,1,0,0,1
AloveZ66671,0,4,0,0,1
AloyASen,11,211,2379,0,22
AlpSantoGlobalMomentumLLC,2,123,0,0,3
Alpacorp,0,2558,213,9,510
