login,followers,max_stars,max_forks,account_age,agent_activity_span_days,agent_diversity,agentic_repo_breadth,collab_breadth,5yr_public_commits,5yr_private_work,5yr_reviews_given,5yr_prs_opened
weiliu1031,4.0,0.0,0.0,4.0,0,1,1,8,564,12,39,1177
costajohnt,10.0,0.0,0.0,11.0,0,1,1,66,81,2392,21,64
jchenseated,1.0,0.0,0.0,6.0,0,1,1,1,24,7780,0,14
Apurva007,2.0,0.0,0.0,12.0,3,1,2,1,8,0,3,19
nazt,158.0,0.0,0.0,17.0,42,1,2,133,4298,22386,5,174
patrickespake,36.0,1.0,0.0,18.0,3,1,1,0,69,14748,0,51
SeanMooney,23.0,0.0,0.0,14.0,2,1,1,17,890,2,614,276
devops-mindhive,0.0,0.0,0.0,6.0,1,1,1,2,21,0,1,59
ippei-shimizu,49.0,0.0,0.0,4.0,7,1,1,0,2105,8958,27,339
cjlucas,4.0,0.0,0.0,15.0,0,1,1,0,141,1462,6,95
paxcalpt,50.0,0.0,0.0,15.0,0,1,1,15,2712,39316,5,264
yar0316,0.0,0.0,0.0,8.0,0,1,1,0,185,0,0,19
hy20191108,6.0,1.0,0.0,7.0,31,2,2,7,138,955,1,69
ModerRAS,25.0,6.0,2.0,9.0,0,1,1,8,3055,1763,2,71
sreya,16.0,0.0,0.0,13.0,0,1,1,14,521,0,267,494
PengleiYu,10.0,0.0,0.0,11.0,0,1,1,0,0,1291,0,0
pwt-cd,0.0,0.0,0.0,1.0,0,1,1,1,335,0,10,34
zachyzissou,1.0,1.0,0.0,13.0,43,2,2,1,626,1361,6,170
korosuke613,68.0,1.0,1.0,10.0,0,1,1,5,5045,4030,151,1367
b-vitamins,1.0,2.0,0.0,3.0,28,1,15,3,3726,0,0,76
ravikambaluru,0.0,0.0,0.0,8.0,0,1,1,1,13,0,0,0
1ucian,1.0,0.0,0.0,12.0,10,1,1,2,200,14,0,85
Blutusz,0.0,0.0,0.0,3.0,6,1,3,0,103,0,0,53
neelmajmudar,0.0,1.0,0.0,3.0,0,1,1,1,135,254,0,28
RealTreasury,0.0,1.0,0.0,1.0,40,1,4,0,2042,0,0,917
macdu07,1.0,0.0,0.0,6.0,0,1,1,0,9,0,0,0
lucasclx,3.0,0.0,0.0,5.0,13,1,4,0,283,11,0,88
koendebock,2.0,0.0,0.0,8.0,0,1,1,1,22,0,1,5
walletstarter,0.0,0.0,0.0,1.0,16,1,2,0,765,0,2,72
Kgibbs501,0.0,0.0,0.0,3.0,0,1,1,0,4,0,0,1
gh9869827,1.0,1.0,0.0,2.0,53,1,3,1,452,1107,8,91
rokon12,621.0,1.0,0.0,16.0,20,1,3,10,3060,1754,14,73
cedricNA,1.0,0.0,0.0,3.0,49,1,3,0,681,589,19,280
Deharath,1.0,0.0,0.0,9.0,7,1,1,0,571,0,0,103
dave-hillier,36.0,1.0,3.0,14.0,21,1,3,4,2659,1324,1,719
hekpac,0.0,0.0,0.0,9.0,3,1,1,1,388,0,0,179
gustavotadeu,0.0,0.0,0.0,8.0,9,1,3,0,58,0,2,23
bcolloran,9.0,0.0,0.0,14.0,26,1,4,9,755,0,98,293
nkphys,7.0,0.0,0.0,10.0,1,1,1,0,208,0,0,2
gshiva,1.0,0.0,0.0,14.0,55,1,3,5,298,0,2,56
helloshowup,0.0,1.0,0.0,3.0,57,1,13,1,1612,0,0,533
voku,463.0,515.0,88.0,16.0,57,1,3,6,3837,70,3,752
neg-serg,28.0,0.0,0.0,13.0,0,1,1,3,15945,0,0,9
rwill128,11.0,0.0,0.0,13.0,26,1,2,0,304,2050,0,75
Federolla12,0.0,0.0,0.0,3.0,0,1,1,0,39,0,0,0
pushpalroy,269.0,531.0,29.0,10.0,10,1,2,2,836,247,9,83
oscarcarmon47,0.0,0.0,0.0,6.0,10,1,2,0,124,0,3,89
Jagomeiister,2.0,0.0,0.0,7.0,1,1,1,0,146,0,0,29
Brensley,0.0,0.0,0.0,9.0,7,1,2,1,73,0,0,43
TrustlessMike,6.0,0.0,0.0,2.0,0,1,1,1,79,0,1,5
Youdanshow,2.0,1.0,0.0,3.0,37,1,5,1,310,0,1,83
Kmberry1989,0.0,1.0,0.0,1.0,51,1,13,0,1120,0,2,169
attgitmain,0.0,1.0,1.0,1.0,48,1,3,1,44,0,0,13
ottojung,0.0,0.0,0.0,3.0,49,1,1,0,12065,0,37,242
jbakhos63,0.0,0.0,0.0,1.0,4,1,1,0,396,0,0,123
anupshah2it,2.0,0.0,0.0,15.0,1,1,2,0,34,0,0,3
denyskozak,5.0,0.0,0.0,4.0,52,1,2,1,1674,312,1,767
guillermolam,4.0,0.0,0.0,12.0,21,1,2,0,275,34,5,14
MasterOfBinary,13.0,29.0,6.0,14.0,0,1,1,0,78,1705,0,51
MeechYourGoals,0.0,1.0,0.0,1.0,39,1,2,3,858,0,0,534
Broadwood11,0.0,0.0,0.0,4.0,0,1,1,0,228,0,0,1
jinggugu1110,0.0,0.0,0.0,2.0,0,1,1,0,58,39,0,1
kopi03,0.0,0.0,0.0,2.0,10,1,2,4,2923,0,0,813
skprasadu,109.0,0.0,0.0,14.0,3,1,3,6,34,11,0,12
aidansussillo24,0.0,1.0,0.0,1.0,28,1,2,0,0,0,0,0
dgcastillof,0.0,0.0,0.0,6.0,26,1,1,0,318,0,0,155
rehmanul,0.0,1.0,0.0,3.0,11,1,3,2,745,0,0,19
