MSch,1,1.0,0.0,100.0
mk3008,34,34.0,0.0,100.0
book000,56,45.0,11.0,80.36
ctclostio,12,11.0,1.0,91.67
sakzw,1,1.0,0.0,100.0
TetraspaceW,1,1.0,0.0,100.0
Copilot,39669,29320.0,10349.0,73.91
chrisschwer,19,16.0,3.0,84.21
duesk-inc,1,1.0,0.0,100.0
ryota-murakami,8,7.0,1.0,87.5
thaleslaray,3,3.0,0.0,100.0
MasanoriKanamaru,7,7.0,0.0,100.0
krhrtky,2,2.0,0.0,100.0
tknecht,1,1.0,0.0,100.0
ken-sheppard,3,2.0,1.0,66.67
petersalomonsen,2,2.0,0.0,100.0
aaronsb,5,5.0,0.0,100.0
tac0turtle,5,4.0,1.0,80.0
abdulhdr1,1,1.0,0.0,100.0
nyukicorn,1,1.0,0.0,100.0
PawlakMarek,1,1.0,0.0,100.0
rcourtman,2,2.0,0.0,100.0
exp-ouroborous,11,10.0,1.0,90.91
phalanx-hk,1,1.0,0.0,100.0
hideyuki-ogawa,2,2.0,0.0,100.0
marklubin,1,1.0,0.0,100.0
ledmaster,1,1.0,0.0,100.0
tomohisa,2,2.0,0.0,100.0
farmisen,2,2.0,0.0,100.0
ngdangdat,1,1.0,0.0,100.0
freshtechbro,1,1.0,0.0,100.0
jerryzhao173985,11,9.0,2.0,81.82
Axfff,1,1.0,0.0,100.0
jordyorel,377,373.0,4.0,98.94
artons98,20,19.0,1.0,95.0
ostepan8,205,205.0,0.0,100.0
vonwao,12,12.0,0.0,100.0
grvslv,3,3.0,0.0,100.0
wnzid,111,109.0,2.0,98.2
Domingo1987,13,13.0,0.0,100.0
urashin,30,29.0,1.0,96.67
simon-schertenleib,33,32.0,1.0,96.97
MARTIN-tibo,9,8.0,1.0,88.89
AygunVarol,14,14.0,0.0,100.0
nicoaira,12,12.0,0.0,100.0
M1ght1203,52,46.0,6.0,88.46
favrei,11,7.0,4.0,63.64
Stephen-Odumirin,9,9.0,0.0,100.0
abdulwadoodalali,1,1.0,0.0,100.0
sallushan,13,13.0,0.0,100.0
dragontheory,42,25.0,17.0,59.52
AFigueroaZA,5,3.0,2.0,60.0
bini1995,397,397.0,0.0,100.0
Maxcherry11,237,237.0,0.0,100.0
0ffG,26,24.0,2.0,92.31
kwuite,84,76.0,8.0,90.48
ClementSam,108,104.0,4.0,96.3
greg-harrison,5,5.0,0.0,100.0
sol-kismulet,165,164.0,1.0,99.39
Zivotu,195,195.0,0.0,100.0
aoinakanishi,62,48.0,14.0,77.42
nerdneilsfield,24,24.0,0.0,100.0
dani-b-g,4,4.0,0.0,100.0
paijowes,2,2.0,0.0,100.0
bapple999,108,107.0,1.0,99.07
dmccolly,32,6.0,26.0,18.75
hari231us,202,202.0,0.0,100.0
Bionded,122,94.0,28.0,77.05
brianlespio,3,3.0,0.0,100.0
CryptvJet,66,65.0,1.0,98.48
gritzmo,33,33.0,0.0,100.0
valknw,25,25.0,0.0,100.0
Robert-Henry-Campbell,165,156.0,9.0,94.55
zoahsceadwian,5,5.0,0.0,100.0
darrenoakey,5,5.0,0.0,100.0
alimuratov,4,4.0,0.0,100.0
Vim-Karene,89,50.0,39.0,56.18
starline,96,95.0,1.0,98.96
