real_human_author,pull_request_id,comments_by_human_maintainers
foxminchan,3105213630,108
bw4sz,3200033873,78
dustin-wojciechowski,3143805151,75
bt-justtrack,3231652557,73
matouskozak,3075857183,71
aibrahim-oai,3240395646,70
arthurclares,3195329595,69
mldangelo,3078444990,66
ljharb,3196619353,65
mattwang44,3227274544,65
tbennun,3130921190,64
abremard,3231788654,64
noahsmartin,3234226080,63
jenshnielsen,3148932692,61
joshdholtz,3151873955,60
simmotech,3262413935,57
nohwnd,3262413935,57
KrzysztofCwalina,3131780712,57
krzemienski,3226800461,57
igormq,3118419390,57
NewFuture,3230529031,54
Youssef1313,3235179464,53
PetSerAl,3098739033,53
lastmjs,3075563001,52
ItsVeryWindy,3080019917,52
jonathanpeppers,3212810620,52
danroth27,3197023120,51
rads-1996,3104405109,51
swathipil,3125531606,51
jakebailey,3221043102,50
partymaker-py,3114898378,50
PureWeen,3144671213,50
KrzysztofCwalina,3161305439,50
JasonMendoza2008,3151566859,50
astafan8,3133771594,50
Jarred-Sumner,3190159928,49
tbennun,3090570894,48
NewFuture,3193524394,48
peterdeme,3078006902,48
jas-kas,3200615668,48
m-redding,3094980327,47
davidfowl,3124026492,47
TomEdwardsEnscape,3144351823,47
abremard,3247126423,47
maxdanilov,3189570878,46
nilo19,3256172444,46
JoshLove-msft,3138439127,45
ackava,3078366765,44
alexwolfmsft,3157537057,44
LiliDeng,3148267777,44
raineorshine,3186281968,44
KrzysztofCwalina,3134438774,44
elinor-fung,3169649243,44
paulomorgado,3161638137,43
LeoJHarris,3110009700,43
kissge,3138550449,43
lastmjs,3104234803,42
davidfowl,3104442713,42
lanicolas,3084600149,42
xiaoyu-work,3119042017,41
live1206,3170054434,41
mrm9084,3083842574,41
ilonatommy,3256664617,41
soumith,3215730319,41
kaovilai,3098322647,41
acco,3138010469,41
sam-goodwin,3105417177,41
msyyc,3132622672,40
minestarks,3121678248,40
veeam-denis,3120246489,40
NewFuture,3235347485,40
pepone,3142965328,40
javiercn,3199867865,39
james-gould,3183936442,39
MikeAlhayek,3245984112,39
lastmjs,3076775534,38
bcrobo,3185333353,38
danroth27,3122811733,38
tarekgh,3075242171,38
JoshLove-msft,3210800471,38
kiview,3222841302,38
captainsafia,3078439427,37
damian-przygodzki,3197014348,37
danroth27,3085403262,37
pepone,3143225191,37
l0lawrence,3179515957,37
pepone,3117952456,37
Youssef1313,3093995006,37
ReubenBond,3081109099,37
Evangelink,3152485982,36
nibanks,3097466678,36
BernieWhite,3212619187,36
0Ky,3100043959,36
ludfjig,3077052259,36
B-Step62,3082820826,36
JoshLove-msft,3080751824,36
JoshLove-msft,3081186157,36
marrobi,3176132312,36
Link-,3228219115,36
javiercn,3193295105,36
vankichi,3067605533,36
mikhailshilkov,3082320330,35
eugeneogongo,3078729881,35
gramalingam,3230759504,35
vakalapa,3104201606,34
nikolaydubina,3255802721,34
davidfowl,3157539448,33
davidfowl,3106934710,33
abremard,3231720206,33
Ruchha-axi,3276590642,33
vavans,3080015686,33
xboxones1,3186218830,33
javiercn,3082388285,33
galyea123,2921044123,33
captainsafia,3179795816,32
markcowl,3084107311,32
kkkxxx0310,3074689840,32
jsquire,3104375121,32
jairmyree,3119512382,32
george-cz,3084795018,32
lostintangent,3138295848,32
patmmccann,3122513050,32
jkotas,3081770176,31
Youssef1313,3127222871,31
mjames-c,3185875840,31
llali,3250455355,31
danegsta,3115762277,30
BillWagner,3236247779,30
mattkur,3209908129,30
PureWeen,3151753047,30
Bamich,3151753047,30
bernardnormier,3103424264,30
jonathanpeppers,3140784075,30
T-Gro,3083186670,30
KrzysztofCwalina,3180642799,30
LANPAST,3225037054,30
vipul-21,3200632703,30
AbhiPrasad,3163338377,30
Kvadratni,3081110111,30
mosch,3132759286,30
srxmsft,3082070083,29
andrewlock,3169102437,29
DaveSkender,3116197763,29
ilya2184,3114848770,29
JoshLove-msft,3083837004,29
jonathanlukas,3259170663,29
KyleAMathews,3171715437,29
skyzh,3042242308,29
srinathsetty,3189972179,28
LGL-Ben,3074618957,28
dylan-smith,3127795243,28
xiaoyu-work,3135068930,28
rolfbjarne,3075799511,28
timraymond,3095028076,28
stephentoub,3095076017,28
Youssef1313,3076083247,28
hilalbursalii,3230682144,28
darcyclarke,3131824435,28
harupy,3198732250,28
gramalingam,3203097519,28
