login,total_mr,accepted_mr,rejected_mr,acceptance_rate,group
MSch,1,1.0,0.0,100.0,Agent
mk3008,34,34.0,0.0,100.0,Agent
book000,56,45.0,11.0,80.36,Agent
ctclostio,12,11.0,1.0,91.67,Agent
sakzw,1,1.0,0.0,100.0,Agent
TetraspaceW,1,1.0,0.0,100.0,Agent
Copilot,39669,29320.0,10349.0,73.91,Agent
chrisschwer,19,16.0,3.0,84.21,Agent
duesk-inc,1,1.0,0.0,100.0,Agent
ryota-murakami,8,7.0,1.0,87.5,Agent
thaleslaray,3,3.0,0.0,100.0,Agent
MasanoriKanamaru,7,7.0,0.0,100.0,Agent
krhrtky,2,2.0,0.0,100.0,Agent
tknecht,1,1.0,0.0,100.0,Agent
ken-sheppard,3,2.0,1.0,66.67,Agent
petersalomonsen,2,2.0,0.0,100.0,Agent
aaronsb,5,5.0,0.0,100.0,Agent
tac0turtle,5,4.0,1.0,80.0,Agent
abdulhdr1,1,1.0,0.0,100.0,Agent
nyukicorn,1,1.0,0.0,100.0,Agent
PawlakMarek,1,1.0,0.0,100.0,Agent
rcourtman,2,2.0,0.0,100.0,Agent
exp-ouroborous,11,10.0,1.0,90.91,Agent
phalanx-hk,1,1.0,0.0,100.0,Agent
hideyuki-ogawa,2,2.0,0.0,100.0,Agent
marklubin,1,1.0,0.0,100.0,Agent
ledmaster,1,1.0,0.0,100.0,Agent
tomohisa,2,2.0,0.0,100.0,Agent
farmisen,2,2.0,0.0,100.0,Agent
ngdangdat,1,1.0,0.0,100.0,Agent
freshtechbro,1,1.0,0.0,100.0,Agent
jerryzhao173985,11,9.0,2.0,81.82,Agent
Axfff,1,1.0,0.0,100.0,Agent
jordyorel,377,373.0,4.0,98.94,Agent
artons98,20,19.0,1.0,95.0,Agent
ostepan8,205,205.0,0.0,100.0,Agent
vonwao,12,12.0,0.0,100.0,Agent
grvslv,3,3.0,0.0,100.0,Agent
wnzid,111,109.0,2.0,98.2,Agent
Domingo1987,13,13.0,0.0,100.0,Agent
urashin,30,29.0,1.0,96.67,Agent
simon-schertenleib,33,32.0,1.0,96.97,Agent
MARTIN-tibo,9,8.0,1.0,88.89,Agent
AygunVarol,14,14.0,0.0,100.0,Agent
nicoaira,12,12.0,0.0,100.0,Agent
M1ght1203,52,46.0,6.0,88.46,Agent
favrei,11,7.0,4.0,63.64,Agent
Stephen-Odumirin,9,9.0,0.0,100.0,Agent
abdulwadoodalali,1,1.0,0.0,100.0,Agent
sallushan,13,13.0,0.0,100.0,Agent
dragontheory,42,25.0,17.0,59.52,Agent
AFigueroaZA,5,3.0,2.0,60.0,Agent
bini1995,397,397.0,0.0,100.0,Agent
Maxcherry11,237,237.0,0.0,100.0,Agent
0ffG,26,24.0,2.0,92.31,Agent
kwuite,84,76.0,8.0,90.48,Agent
ClementSam,108,104.0,4.0,96.3,Agent
greg-harrison,5,5.0,0.0,100.0,Agent
sol-kismulet,165,164.0,1.0,99.39,Agent
Zivotu,195,195.0,0.0,100.0,Agent
aoinakanishi,62,48.0,14.0,77.42,Agent
nerdneilsfield,24,24.0,0.0,100.0,Agent
dani-b-g,4,4.0,0.0,100.0,Agent
paijowes,2,2.0,0.0,100.0,Agent
bapple999,108,107.0,1.0,99.07,Agent
dmccolly,32,6.0,26.0,18.75,Agent
hari231us,202,202.0,0.0,100.0,Agent
Bionded,122,94.0,28.0,77.05,Agent
brianlespio,3,3.0,0.0,100.0,Agent
CryptvJet,66,65.0,1.0,98.48,Agent
gritzmo,33,33.0,0.0,100.0,Agent
valknw,25,25.0,0.0,100.0,Agent
